Temperature,Dew,Humidity,Pressure,Precipitation,distnace_from_shoreline,Developed_High_Intensity_area,Woody_Wetlands,elevation,wind_speed
79.1,68.7,72.2,29.5,0,171.2,5.70265839,2.07868518,371,6.2
78.8,69.3,74,29.5,0,171.2,5.70265839,2.07868518,371,6.1
79,65.3,64,29.5,0.08,171.2,5.70265839,2.07868518,371,7.6
79.7,70,73.4,29.6,0,171.2,5.70265839,2.07868518,371,8
79.6,67.6,69,29.5,0,171.2,5.70265839,2.07868518,371,11
80.3,67.4,67.1,29.4,0,171.2,5.70265839,2.07868518,371,14.5
81.4,69,67,29.3,0,171.2,5.70265839,2.07868518,371,15.5
81.2,72.1,74.9,29.5,0,171.2,5.70265839,2.07868518,371,11.6
65.8,62.5,88.9,29.7,0.36,171.2,5.70265839,2.07868518,371,6.9
65.7,61,85.1,29.7,0,171.2,5.70265839,2.07868518,371,6.2
69.8,66.6,89.5,29.4,0.01,171.2,5.70265839,2.07868518,371,7.8
67.1,59.3,77.9,29.4,0.47,171.2,5.70265839,2.07868518,371,9.8
71.8,51.7,53.5,29.5,0,171.2,5.70265839,2.07868518,371,9.7
70.8,53.7,59.6,29.6,0,171.2,5.70265839,2.07868518,371,3.3
74.8,57.8,59.8,29.5,0,171.2,5.70265839,2.07868518,371,7.3
78.2,67,70.5,29.4,0,171.2,5.70265839,2.07868518,371,11.6
80.4,69.1,70,29.4,0,171.2,5.70265839,2.07868518,371,13.2
82.6,70.9,69.8,29.5,0,171.2,5.70265839,2.07868518,371,9.2
82.3,71.8,70.8,29.7,0,171.2,5.70265839,2.07868518,371,8
92.3,68.1,47.9,29.6,0,171.2,5.70265839,2.07868518,371,9.1
89.1,69.4,55.7,29.5,0,171.2,5.70265839,2.07868518,371,9
88.4,69.2,56.5,29.6,0,171.2,5.70265839,2.07868518,371,7.9
85.6,70.5,63.9,29.6,0,171.2,5.70265839,2.07868518,371,6.5
82.5,71.7,71.9,29.7,0,171.2,5.70265839,2.07868518,371,7.9
86.8,69.4,60,29.7,0.01,171.2,5.70265839,2.07868518,371,8.1
87.7,69.1,57.7,29.6,0,171.2,5.70265839,2.07868518,371,6.3
82.4,71.1,70.2,29.6,0,171.2,5.70265839,2.07868518,371,7.2
79.2,72.5,80.5,29.7,0,171.2,5.70265839,2.07868518,371,6.1
83.2,71.3,70.7,29.6,0.25,171.2,5.70265839,2.07868518,371,5.6
84.6,71.6,67.8,29.6,0,171.2,5.70265839,2.07868518,371,6
85.7,67,57.1,29.6,0.02,171.2,5.70265839,2.07868518,371,6.8
86.4,69.7,59.6,29.6,0,171.2,5.70265839,2.07868518,371,5.9
87.9,68.1,54.9,29.5,0,171.2,5.70265839,2.07868518,371,5.9
89.1,66.2,49,29.5,0,171.2,5.70265839,2.07868518,371,6
87,70.6,59.4,29.5,0,171.2,5.70265839,2.07868518,371,6.7
78.3,72,80.9,29.6,0.02,171.2,5.70265839,2.07868518,371,5.8
80.6,70.6,74.2,29.5,0,171.2,5.70265839,2.07868518,371,4.9
79.3,72.4,80.2,29.6,0,171.2,5.70265839,2.07868518,371,6.8
78.1,73.6,87.2,29.6,0.01,171.2,5.70265839,2.07868518,371,7.2
75.1,73.4,94.6,29.5,1.36,171.2,5.70265839,2.07868518,371,6.8
77.2,73.3,88.3,29.5,3.05,171.2,5.70265839,2.07868518,371,5.1
76.3,71.4,85.3,29.5,0.07,171.2,5.70265839,2.07868518,371,5.7
77.3,72.5,85.3,29.6,0,171.2,5.70265839,2.07868518,371,3.8
79.9,73.2,81.5,29.6,0.02,171.2,5.70265839,2.07868518,371,4.7
81.7,74.2,79.4,29.5,0,171.2,5.70265839,2.07868518,371,3.9
83.8,72.9,71.9,29.5,0,171.2,5.70265839,2.07868518,371,9.5
79.1,74.2,85.9,29.6,0,171.2,5.70265839,2.07868518,371,7.3
80.5,74.1,81.8,29.6,0.45,171.2,5.70265839,2.07868518,371,5.8
82.1,72.3,74,29.6,0,171.2,5.70265839,2.07868518,371,1.5
61.2,55.5,83,29.8,0,171.2,5.70265839,2.07868518,371,3.2
59,54.3,86.8,29.8,0,171.2,5.70265839,2.07868518,371,2.9
71.2,63.7,78.1,29.7,0,171.2,5.70265839,2.07868518,371,8.7
70.8,65.3,83.4,29.5,0.01,171.2,5.70265839,2.07868518,371,14
54.9,46,74.1,29.5,0.56,171.2,5.70265839,2.07868518,371,4.5
65.6,62.3,89.5,29.6,0,171.2,5.70265839,2.07868518,371,3.3
73.3,69.5,88.7,29.8,0,171.2,5.70265839,2.07868518,371,5.6
73.4,68.4,84.9,29.8,0.16,171.2,5.70265839,2.07868518,371,6.7
72.9,66.7,81.7,29.8,0,171.2,5.70265839,2.07868518,371,5.3
67.3,61.8,83.3,29.6,0,171.2,5.70265839,2.07868518,371,4
55.1,52.8,91.9,29.5,0,171.2,5.70265839,2.07868518,371,10.1
42,29.9,65.7,29.8,0.32,171.2,5.70265839,2.07868518,371,9
40.3,27,62,29.9,0,171.2,5.70265839,2.07868518,371,5.8
41.9,37.6,85,29.7,0,171.2,5.70265839,2.07868518,371,7.9
42.2,36.3,80.4,29.9,0.5,171.2,5.70265839,2.07868518,371,9.7
42.9,31.7,69,30,0,171.2,5.70265839,2.07868518,371,3.4
42.7,30.3,67,30,0,171.2,5.70265839,2.07868518,371,1.9
44.5,25.8,53.1,29.9,0,171.2,5.70265839,2.07868518,371,3.4
40.9,12.5,28.9,30,0,171.2,5.70265839,2.07868518,371,5.5
40.2,27.3,64.9,30,0,171.2,5.70265839,2.07868518,371,3
44.8,36.7,75.1,30,0.04,171.2,5.70265839,2.07868518,371,1.5
49.8,38.5,68.8,29.9,0,171.2,5.70265839,2.07868518,371,1.6
54.8,42.5,66.2,29.7,0,171.2,5.70265839,2.07868518,371,3.9
59,56.4,91.4,29.6,0.03,171.2,5.70265839,2.07868518,371,7.1
57,54.8,92.2,29.7,0,171.2,5.70265839,2.07868518,371,7.4
56.1,52.5,88.3,29.4,0,171.2,5.70265839,2.07868518,371,9.9
52.3,44.3,75.6,29.5,0,171.2,5.70265839,2.07868518,371,5.3
51.6,31.4,55.9,29.6,0,171.2,5.70265839,2.07868518,371,3.9
67.4,46.8,57.6,29.4,0,171.2,5.70265839,2.07868518,371,9.1
45.8,26.5,50.1,29.9,0,171.2,5.70265839,2.07868518,371,8.9
59,51.5,77.1,29.5,0,255.6,3.11177295,0.23003838,299,7.3
57,52.7,85.6,29.5,0.05,255.6,3.11177295,0.23003838,299,8.9
34.5,32.1,91.4,29.7,1.49,255.6,3.11177295,0.23003838,299,9.4
32.9,23.7,69.9,30.1,0.41,255.6,3.11177295,0.23003838,299,7.7
37.4,19.9,53.2,30.1,0,255.6,3.11177295,0.23003838,299,4.3
41.3,23.8,53.6,29.9,0,255.6,3.11177295,0.23003838,299,3.5
43.4,26.1,53.7,29.9,0,255.6,3.11177295,0.23003838,299,3.6
48.9,25.4,44.5,29.8,0,255.6,3.11177295,0.23003838,299,8.3
54.4,24.5,35.8,29.7,0,255.6,3.11177295,0.23003838,299,5.2
57.1,25.9,34.6,29.6,0,255.6,3.11177295,0.23003838,299,4.9
60.6,34,38.5,29.5,0,255.6,3.11177295,0.23003838,299,11.5
43.5,28.1,57.5,29.9,0,255.6,3.11177295,0.23003838,299,9.1
44.2,18.3,38.1,29.9,0.17,255.6,3.11177295,0.23003838,299,6.3
53.5,26.4,40.4,29.9,0,255.6,3.11177295,0.23003838,299,6.8
57.6,38.9,50.3,29.8,0,255.6,3.11177295,0.23003838,299,11.3
66.4,53.5,63.5,29.6,0,255.6,3.11177295,0.23003838,299,14
59.7,54.8,84,29.4,0,255.6,3.11177295,0.23003838,299,15.4
38.7,24.8,59.4,29.9,1.43,255.6,3.11177295,0.23003838,299,4.4
49.2,27.4,46.7,29.9,0,255.6,3.11177295,0.23003838,299,4.3
56.4,32,41.8,29.8,0,255.6,3.11177295,0.23003838,299,10.3
64.5,57.1,77.8,29.5,0,255.6,3.11177295,0.23003838,299,8.7
65.5,54.5,67.7,29.5,0.01,255.6,3.11177295,0.23003838,299,12.2
34.5,29.4,82.4,29.9,0,255.6,3.11177295,0.23003838,299,9
35.6,33.1,90.5,29.8,0.45,255.6,3.11177295,0.23003838,299,6.6
34.9,26,70.5,30,0.02,255.6,3.11177295,0.23003838,299,9.3
34.6,30.6,85.3,30,0,255.6,3.11177295,0.23003838,299,7.3
41.3,33.2,76.3,29.9,0.46,255.6,3.11177295,0.23003838,299,4.7
48.2,27.3,50.5,29.9,0,255.6,3.11177295,0.23003838,299,1.9
71.9,52.4,53.7,29.6,0.02,255.6,3.11177295,0.23003838,299,3.5
74.9,64.8,71.8,29.5,0,255.6,3.11177295,0.23003838,299,10.3
68.3,63.2,84.4,29.5,0.72,255.6,3.11177295,0.23003838,299,7.1
73.7,65.9,77.4,29.6,0,255.6,3.11177295,0.23003838,299,7.1
71.3,67.4,87.4,29.4,0,255.6,3.11177295,0.23003838,299,9.1
68.5,53.9,61.9,29.4,0.62,255.6,3.11177295,0.23003838,299,10.8
71.8,59.6,67.1,29.4,0,255.6,3.11177295,0.23003838,299,5.8
77.1,65.7,68.5,29.3,0,255.6,3.11177295,0.23003838,299,10.9
81.5,69.9,69.1,29.4,0,255.6,3.11177295,0.23003838,299,10.6
81.4,70,69.4,29.6,0,255.6,3.11177295,0.23003838,299,8.9
81.4,69.3,68.4,29.7,0,255.6,3.11177295,0.23003838,299,6
81.8,68.7,66.8,29.6,0,255.6,3.11177295,0.23003838,299,5.5
81.2,66.6,62.7,29.5,0,255.6,3.11177295,0.23003838,299,5.8
78.8,69,72.5,29.5,0,255.6,3.11177295,0.23003838,299,6.4
81.7,69.5,67.9,29.5,0,255.6,3.11177295,0.23003838,299,5.1
78.7,65.9,66,29.5,0,255.6,3.11177295,0.23003838,299,6.5
78.4,66.3,67.9,29.6,0,255.6,3.11177295,0.23003838,299,7.2
80.5,68.5,68.2,29.5,0,255.6,3.11177295,0.23003838,299,9.1
82.3,67.1,62,29.3,0,255.6,3.11177295,0.23003838,299,13.7
82.2,68.4,63.9,29.3,0,255.6,3.11177295,0.23003838,299,13.3
81.3,71.3,72.5,29.5,0,255.6,3.11177295,0.23003838,299,11.4
65.8,62.2,88,29.7,0,255.6,3.11177295,0.23003838,299,10.1
65.3,58.6,78.9,29.7,0.07,255.6,3.11177295,0.23003838,299,5.9
70.7,66.8,87.5,29.4,0,255.6,3.11177295,0.23003838,299,6.2
69.7,61,75.7,29.3,0.28,255.6,3.11177295,0.23003838,299,11.1
70.2,52.7,56.5,29.5,0,255.6,3.11177295,0.23003838,299,11.7
72.6,54,55.6,29.6,0,255.6,3.11177295,0.23003838,299,6.1
77,57.5,54,29.5,0,255.6,3.11177295,0.23003838,299,6.6
80.6,64.8,59.1,29.4,0,255.6,3.11177295,0.23003838,299,11.5
81.5,67.2,63.4,29.4,0,255.6,3.11177295,0.23003838,299,11.4
82.7,70.1,67,29.5,0,255.6,3.11177295,0.23003838,299,9.2
85.6,71.6,63.7,29.6,0,255.6,3.11177295,0.23003838,299,6.4
87.6,71.8,61.2,29.6,0,255.6,3.11177295,0.23003838,299,8.5
89.7,68.9,55.6,29.5,0,255.6,3.11177295,0.23003838,299,9
86.8,72.5,64.5,29.5,0,255.6,3.11177295,0.23003838,299,7.5
87.9,72.3,61.8,29.6,0,255.6,3.11177295,0.23003838,299,6.7
87.1,71.3,60.9,29.6,0,255.6,3.11177295,0.23003838,299,8.5
88.1,70.3,57.8,29.7,0,255.6,3.11177295,0.23003838,299,7.9
87.3,69.7,57.9,29.6,0,255.6,3.11177295,0.23003838,299,8.3
76.5,73.7,90.9,29.7,0.01,255.6,3.11177295,0.23003838,299,5.5
80,73.8,83.1,29.6,3.94,255.6,3.11177295,0.23003838,299,5
79.5,73.3,82.7,29.6,0.71,255.6,3.11177295,0.23003838,299,4.4
83.8,71.6,67.7,29.6,0,255.6,3.11177295,0.23003838,299,6.7
82.1,63.8,57.4,29.6,0,255.6,3.11177295,0.23003838,299,6.1
84.2,69.6,62.8,29.6,0,255.6,3.11177295,0.23003838,299,3.9
88.5,72.6,60.5,28.3,0,255.6,3.11177295,0.23003838,299,5.6
90,70.5,53.6,23.6,0,255.6,3.11177295,0.23003838,299,6.7
80.4,72.7,78,29.6,0,255.6,3.11177295,0.23003838,299,7.1
74.8,71,88.3,29.6,0.65,255.6,3.11177295,0.23003838,299,6.2
79.7,70.5,75,29.5,0.33,255.6,3.11177295,0.23003838,299,4.1
82.2,72.4,73.4,29.6,0,255.6,3.11177295,0.23003838,299,7.1
79,73.4,83,29.6,0,255.6,3.11177295,0.23003838,299,7.6
75.4,73.5,94.1,29.5,1.14,255.6,3.11177295,0.23003838,299,6.9
75.9,72.8,90.3,29.4,0,255.6,3.11177295,0.23003838,299,8.2
76.9,71.3,83.3,29.5,0.12,255.6,3.11177295,0.23003838,299,6.8
77.9,72.1,82.8,29.6,0,255.6,3.11177295,0.23003838,299,5.7
81.9,73.4,76.8,29.6,0,255.6,3.11177295,0.23003838,299,4.6
79.1,74,85.4,29.5,0,255.6,3.11177295,0.23003838,299,5
83,74,75.5,29.5,0,255.6,3.11177295,0.23003838,299,7.4
81.3,73.7,78.8,29.5,0,255.6,3.11177295,0.23003838,299,6.8
80.9,73.6,79.1,29.6,0.06,255.6,3.11177295,0.23003838,299,4.2
80.8,73,79.8,29.6,0,255.6,3.11177295,0.23003838,299,1.6
62.3,53.5,74.1,29.8,0,255.6,3.11177295,0.23003838,299,3.6
59.4,54.1,84.6,29.8,0,255.6,3.11177295,0.23003838,299,2.8
71.3,59.9,67.7,29.7,0,255.6,3.11177295,0.23003838,299,7.9
70.7,64.8,81.9,29.4,0,255.6,3.11177295,0.23003838,299,15.1
54.2,44.6,71.1,29.5,1.31,255.6,3.11177295,0.23003838,299,6
69.1,61.1,76.5,29.6,0,255.6,3.11177295,0.23003838,299,7.9
69.5,67.2,92.5,29.8,0.01,255.6,3.11177295,0.23003838,299,6
65.1,63,93.1,29.9,0.05,255.6,3.11177295,0.23003838,299,6.1
68.6,65,88.8,29.8,0,255.6,3.11177295,0.23003838,299,3.4
67,55.3,66.6,29.5,0,255.6,3.11177295,0.23003838,299,5.9
57.7,52.8,84.2,29.5,0,255.6,3.11177295,0.23003838,299,7.3
43.2,29.7,63.3,29.8,0.34,255.6,3.11177295,0.23003838,299,9.1
39.6,25.7,60.4,29.9,0,255.6,3.11177295,0.23003838,299,4.4
40.7,33.5,77.8,29.7,0,255.6,3.11177295,0.23003838,299,7.8
43,37.5,82.8,29.9,0.5,255.6,3.11177295,0.23003838,299,8.2
44.5,31.1,63.4,30,0,255.6,3.11177295,0.23003838,299,5.2
42.3,26.1,56.2,30,0,255.6,3.11177295,0.23003838,299,2.4
42.7,31.5,65.4,29.9,0,255.6,3.11177295,0.23003838,299,5.4
38.8,27,63.8,30,0,255.6,3.11177295,0.23003838,299,2.9
