Temperature,Dew,Humidity,Pressure,Precipitation,Developed_High_Intensity_area,Woody_Wetlands,elevation,wind_speed
80.10,30.20,34.90,26.40,0.00,10.34,0.08,3202.00,11.90
85.80,10.00,6.20,26.30,0.00,10.34,0.08,3202.00,17.50
85.50,14.30,7.40,26.40,0.00,10.34,0.08,3202.00,20.10
78.00,52.30,48.90,26.60,0.00,10.34,0.08,3202.00,20.00
76.80,57.60,55.40,26.60,0.00,10.34,0.08,3202.00,18.00
81.90,43.30,34.10,26.50,0.00,10.34,0.08,3202.00,14.40
76.00,24.30,18.30,26.60,0.00,10.34,0.08,3202.00,8.30
79.80,36.40,29.90,26.60,0.00,10.34,0.08,3202.00,9.80
82.70,36.10,24.40,26.60,0.00,10.34,0.08,3202.00,12.40
74.10,56.30,58.40,26.60,0.00,10.34,0.08,3202.00,15.30
83.00,44.50,34.10,26.50,0.17,10.34,0.08,3202.00,15.70
84.00,42.90,24.80,26.50,0.00,10.34,0.08,3202.00,13.40
83.70,38.00,30.90,26.40,0.00,10.34,0.08,3202.00,12.60
79.50,29.30,17.20,26.30,0.00,10.34,0.08,3202.00,14.90
63.20,35.70,37.20,26.60,0.00,10.34,0.08,3202.00,19.00
59.90,32.20,37.30,26.80,0.00,10.34,0.08,3202.00,13.50
62.90,50.50,65.20,26.60,0.00,10.34,0.08,3202.00,18.30
58.30,52.30,81.50,26.50,1.56,10.34,0.08,3202.00,16.20
59.00,41.20,55.50,26.60,0.94,10.34,0.08,3202.00,14.90
70.30,43.20,43.50,26.60,0.00,10.34,0.08,3202.00,8.40
77.80,46.80,38.30,26.60,0.00,10.34,0.08,3202.00,14.80
89.20,44.00,26.70,26.40,0.00,10.34,0.08,3202.00,20.00
87.00,37.00,22.40,26.30,0.00,10.34,0.08,3202.00,22.90
84.30,38.10,22.30,26.30,0.00,10.34,0.08,3202.00,15.90
83.70,61.30,48.30,26.40,0.00,10.34,0.08,3202.00,16.80
85.80,50.70,30.30,26.70,0.00,10.34,0.08,3202.00,14.30
88.30,53.50,31.40,26.60,0.00,10.34,0.08,3202.00,13.80
90.40,53.90,29.60,26.50,0.00,10.34,0.08,3202.00,12.90
86.70,60.70,42.90,26.60,0.00,10.34,0.08,3202.00,11.30
87.00,58.30,39.80,26.60,0.04,10.34,0.08,3202.00,8.30
87.50,51.30,29.70,26.70,0.00,10.34,0.08,3202.00,11.50
85.60,56.80,38.80,26.70,0.00,10.34,0.08,3202.00,11.90
83.80,56.50,39.90,26.70,0.00,10.34,0.08,3202.00,8.10
80.10,61.60,55.30,26.70,0.14,10.34,0.08,3202.00,7.60
80.80,62.40,54.60,26.80,0.00,10.34,0.08,3202.00,6.40
81.90,57.80,47.70,26.80,0.00,10.34,0.08,3202.00,7.40
81.10,47.90,33.20,26.80,0.00,10.34,0.08,3202.00,6.30
82.40,52.30,37.50,26.70,0.00,10.34,0.08,3202.00,7.00
84.20,53.80,37.50,26.70,0.00,10.34,0.08,3202.00,8.30
83.10,57.50,43.50,26.60,0.00,10.34,0.08,3202.00,10.10
81.50,54.60,41.30,26.70,0.00,10.34,0.08,3202.00,7.80
80.60,57.30,46.50,26.70,0.00,10.34,0.08,3202.00,9.30
71.50,63.60,77.20,26.70,1.32,10.34,0.08,3202.00,8.10
77.20,60.00,59.60,26.60,0.09,10.34,0.08,3202.00,4.20
72.50,66.10,81.00,26.70,0.00,10.34,0.08,3202.00,9.50
69.80,65.90,87.60,26.70,0.62,10.34,0.08,3202.00,11.90
70.60,64.70,81.90,26.70,0.19,10.34,0.08,3202.00,11.00
73.50,60.70,66.60,26.70,0.00,10.34,0.08,3202.00,6.60
74.00,60.00,64.30,26.70,0.00,10.34,0.08,3202.00,5.30
76.10,58.90,59.30,26.80,0.00,10.34,0.08,3202.00,5.00
78.10,56.60,50.80,26.70,0.00,10.34,0.08,3202.00,7.60
80.60,56.60,46.30,26.60,0.00,10.34,0.08,3202.00,11.30
81.40,61.00,51.70,26.50,0.00,10.34,0.08,3202.00,16.00
75.60,62.60,66.30,26.60,0.10,10.34,0.08,3202.00,11.00
71.70,64.00,77.60,26.70,0.94,10.34,0.08,3202.00,7.10
69.80,66.40,88.80,26.80,0.26,10.34,0.08,3202.00,6.70
58.00,48.50,72.50,26.70,0.00,10.34,0.08,3202.00,10.70
60.00,52.70,78.50,26.70,0.00,10.34,0.08,3202.00,15.20
65.10,55.10,72.70,26.50,0.00,10.34,0.08,3202.00,18.90
52.70,42.80,72.10,26.50,0.00,10.34,0.08,3202.00,14.30
53.00,28.00,45.10,26.40,0.02,10.34,0.08,3202.00,16.30
59.20,34.00,42.00,26.50,0.00,10.34,0.08,3202.00,9.50
58.80,48.70,70.80,26.80,0.00,10.34,0.08,3202.00,10.30
64.40,58.60,82.30,26.80,0.00,10.34,0.08,3202.00,15.90
67.70,58.60,73.80,26.60,0.00,10.34,0.08,3202.00,20.30
63.50,46.30,60.70,26.50,0.01,10.34,0.08,3202.00,13.80
39.80,20.20,47.00,26.70,0.00,10.34,0.08,3202.00,15.30
37.60,16.80,46.80,26.80,0.00,10.34,0.08,3202.00,7.40
41.50,23.00,50.00,26.60,0.00,10.34,0.08,3202.00,13.50
35.30,23.00,61.20,26.60,0.00,10.34,0.08,3202.00,13.60
34.00,18.80,58.30,26.90,0.00,10.34,0.08,3202.00,7.50
39.20,22.30,53.00,27.00,0.00,10.34,0.08,3202.00,4.90
39.60,22.10,53.80,26.90,0.00,10.34,0.08,3202.00,11.50
29.10,20.30,70.00,26.90,0.00,10.34,0.08,3202.00,13.20
34.00,18.10,53.80,26.90,0.00,10.34,0.08,3202.00,5.60
36.60,17.30,49.70,26.90,0.00,10.34,0.08,3202.00,7.30
40.50,27.50,63.20,26.80,0.00,10.34,0.08,3202.00,6.60
44.70,29.40,59.30,26.80,0.00,10.34,0.08,3202.00,9.00
45.60,41.40,87.10,26.60,0.00,10.34,0.08,3202.00,10.90
41.10,34.10,77.30,26.70,0.00,10.34,0.08,3202.00,16.60
37.90,32.50,81.10,26.80,0.08,10.34,0.08,3202.00,14.00
39.40,37.30,92.30,26.50,0.26,10.34,0.08,3202.00,6.40
41.40,33.60,74.90,26.60,0.22,10.34,0.08,3202.00,7.80
49.50,30.60,51.00,26.40,0.00,10.34,0.08,3202.00,14.60
49.50,26.70,46.00,26.40,0.00,10.34,0.08,3202.00,17.70
30.80,19.10,64.30,26.90,0.00,10.34,0.08,3202.00,6.80
39.70,18.80,43.70,26.10,0.00,9.61,0.01,3668.00,20.10
17.30,12.30,81.00,26.30,0.00,9.61,0.01,3668.00,20.80
7.30,3.00,82.50,26.50,0.08,9.61,0.01,3668.00,19.70
14.60,5.60,70.20,26.70,0.03,9.61,0.01,3668.00,8.80
32.40,11.00,47.00,26.40,0.00,9.61,0.01,3668.00,14.80
35.20,23.50,63.40,26.50,0.00,9.61,0.01,3668.00,15.00
36.90,18.10,53.50,26.60,0.00,9.61,0.01,3668.00,8.60
40.90,18.10,43.60,26.40,0.00,9.61,0.01,3668.00,12.60
43.40,17.10,40.90,26.40,0.00,9.61,0.01,3668.00,8.00
45.10,21.60,42.30,26.40,0.00,9.61,0.01,3668.00,10.20
44.30,23.70,45.50,26.30,0.00,9.61,0.01,3668.00,17.50
30.80,22.30,72.70,26.60,0.03,9.61,0.01,3668.00,14.90
41.30,18.60,48.50,26.60,0.00,9.61,0.01,3668.00,9.80
46.10,18.30,38.00,26.40,0.00,9.61,0.01,3668.00,10.50
53.80,9.90,22.00,26.10,0.00,9.61,0.01,3668.00,17.80
55.90,20.40,31.60,26.00,0.00,9.61,0.01,3668.00,19.60
26.10,16.60,68.70,26.40,0.00,9.61,0.01,3668.00,23.00
35.00,13.80,48.00,26.50,0.00,9.61,0.01,3668.00,8.30
45.30,15.60,34.50,26.50,0.00,9.61,0.01,3668.00,14.70
55.00,11.50,22.10,26.20,0.00,9.61,0.01,3668.00,17.10
55.20,13.40,23.30,26.00,0.00,9.61,0.01,3668.00,15.50
19.70,2.20,48.50,26.30,0.00,9.61,0.01,3668.00,18.50
13.60,-3.90,46.70,26.50,0.00,9.61,0.01,3668.00,11.90
24.30,4.00,46.20,26.40,0.00,9.61,0.01,3668.00,9.60
21.20,12.90,74.10,26.60,0.00,9.61,0.01,3668.00,12.80
26.80,11.10,55.90,26.60,0.00,9.61,0.01,3668.00,6.90
37.70,9.00,36.10,26.60,0.00,9.61,0.01,3668.00,7.60
46.70,9.30,25.70,26.50,0.00,9.61,0.01,3668.00,9.40
65.10,39.70,42.80,26.20,0.00,9.61,0.01,3668.00,20.70
66.30,44.70,56.80,26.10,0.07,9.61,0.01,3668.00,21.40
51.30,35.90,59.90,26.30,0.00,9.61,0.01,3668.00,14.70
59.90,52.80,78.20,26.10,0.00,9.61,0.01,3668.00,18.50
55.10,41.10,66.30,26.30,0.04,9.61,0.01,3668.00,15.50
67.60,33.30,36.00,26.20,0.00,9.61,0.01,3668.00,9.80
73.70,39.60,48.70,26.10,0.00,9.61,0.01,3668.00,16.30
80.60,24.00,15.70,25.90,0.00,9.61,0.01,3668.00,17.00
81.70,17.60,9.70,26.00,0.00,9.61,0.01,3668.00,21.50
78.40,34.50,26.70,26.20,0.00,9.61,0.01,3668.00,18.10
75.50,57.30,56.20,26.30,0.13,9.61,0.01,3668.00,21.60
79.90,33.50,30.60,26.20,0.00,9.61,0.01,3668.00,17.60
72.10,24.80,19.70,26.30,0.00,9.61,0.01,3668.00,11.20
76.00,30.00,29.90,26.30,0.00,9.61,0.01,3668.00,10.60
74.30,44.30,40.10,26.30,0.00,9.61,0.01,3668.00,15.20
70.10,54.80,61.60,26.30,0.00,9.61,0.01,3668.00,13.70
80.70,39.30,33.50,26.20,0.00,9.61,0.01,3668.00,15.40
76.20,43.80,33.60,26.20,0.00,9.61,0.01,3668.00,11.50
77.40,40.70,39.00,26.00,0.00,9.61,0.01,3668.00,17.00
67.80,32.10,30.70,26.00,0.00,9.61,0.01,3668.00,16.20
53.50,33.50,47.60,26.40,0.00,9.61,0.01,3668.00,20.10
54.40,28.90,42.60,26.50,0.00,9.61,0.01,3668.00,11.00
57.10,46.40,69.60,26.30,0.00,9.61,0.01,3668.00,19.10
52.80,50.20,91.30,26.20,1.15,9.61,0.01,3668.00,14.20
54.10,39.70,62.60,26.20,0.01,9.61,0.01,3668.00,17.20
68.10,37.50,37.50,26.30,0.00,9.61,0.01,3668.00,10.10
76.60,44.40,35.60,26.30,0.00,9.61,0.01,3668.00,19.60
84.70,39.30,26.20,26.10,0.00,9.61,0.01,3668.00,18.30
84.00,31.20,20.80,25.90,0.00,9.61,0.01,3668.00,24.60
78.50,29.30,18.50,26.00,0.00,9.61,0.01,3668.00,15.10
81.00,56.80,44.40,26.40,0.00,9.61,0.01,3668.00,14.70
84.90,56.30,40.00,26.30,0.00,9.61,0.01,3668.00,16.70
84.50,59.00,43.10,26.20,0.00,9.61,0.01,3668.00,12.80
80.80,64.10,58.20,26.30,0.00,9.61,0.01,3668.00,11.80
84.20,62.20,50.80,26.30,0.00,9.61,0.01,3668.00,9.30
85.00,56.90,40.30,26.30,0.00,9.61,0.01,3668.00,13.60
83.50,56.40,41.30,26.40,0.00,9.61,0.01,3668.00,12.80
79.00,60.70,54.20,26.40,0.00,9.61,0.01,3668.00,8.30
79.20,61.40,56.70,26.40,0.00,9.61,0.01,3668.00,7.30
76.30,62.40,63.30,26.50,0.00,9.61,0.01,3668.00,5.10
78.50,58.20,53.60,26.50,0.00,9.61,0.01,3668.00,4.50
78.50,51.00,41.10,26.40,0.00,9.61,0.01,3668.00,8.50
79.70,53.70,42.80,26.40,0.00,9.61,0.01,3668.00,9.50
81.30,56.20,45.00,26.40,0.00,9.61,0.01,3668.00,10.30
82.00,56.30,43.30,26.30,0.00,9.61,0.01,3668.00,11.40
80.60,58.90,49.30,26.40,0.00,9.61,0.01,3668.00,7.80
73.20,61.70,69.10,26.40,0.00,9.61,0.01,3668.00,10.80
71.20,61.00,74.30,26.40,0.16,9.61,0.01,3668.00,4.50
75.40,56.10,55.80,26.30,0.00,9.61,0.01,3668.00,7.80
71.00,61.00,71.80,26.40,0.00,9.61,0.01,3668.00,7.60
64.90,63.20,94.60,26.40,0.30,9.61,0.01,3668.00,12.30
67.70,62.00,84.10,26.40,0.26,9.61,0.01,3668.00,9.20
71.50,57.30,65.50,26.40,0.00,9.61,0.01,3668.00,5.50
72.00,55.70,60.10,26.40,0.00,9.61,0.01,3668.00,6.20
73.50,53.30,54.00,26.40,0.00,9.61,0.01,3668.00,6.00
75.60,55.20,51.80,26.40,0.00,9.61,0.01,3668.00,11.00
79.00,57.80,50.60,26.20,0.00,9.61,0.01,3668.00,16.00
80.80,58.60,50.40,26.20,0.00,9.61,0.01,3668.00,12.60
73.00,59.50,64.80,26.30,0.00,9.61,0.01,3668.00,12.40
74.20,62.10,67.20,26.40,0.82,9.61,0.01,3668.00,9.30
73.90,64.10,73.20,26.50,0.00,9.61,0.01,3668.00,8.10
59.10,44.70,61.90,26.40,0.00,9.61,0.01,3668.00,17.30
60.20,50.10,71.70,26.30,0.00,9.61,0.01,3668.00,18.50
62.60,50.00,69.00,26.20,0.00,9.61,0.01,3668.00,18.60
37.60,33.40,85.90,26.20,0.00,9.61,0.01,3668.00,12.90
47.10,28.80,57.20,26.10,0.16,9.61,0.01,3668.00,11.50
53.30,34.70,51.10,26.20,0.00,9.61,0.01,3668.00,12.00
51.20,44.00,78.50,26.50,0.00,9.61,0.01,3668.00,10.00
61.60,57.70,88.10,26.40,0.00,9.61,0.01,3668.00,18.60
64.80,57.40,77.20,26.30,0.00,9.61,0.01,3668.00,21.90
54.50,40.90,63.10,26.20,0.00,9.61,0.01,3668.00,15.40
32.70,18.00,56.60,26.40,0.00,9.61,0.01,3668.00,16.50
36.70,16.50,47.50,26.50,0.00,9.61,0.01,3668.00,9.60
41.20,22.50,48.80,26.30,0.00,9.61,0.01,3668.00,20.80
27.10,21.00,77.90,26.30,0.00,9.61,0.01,3668.00,14.30
32.80,20.50,64.40,26.60,0.00,9.61,0.01,3668.00,7.50
35.60,20.00,56.20,26.60,0.00,9.61,0.01,3668.00,7.20
36.00,22.10,61.50,26.50,0.00,9.61,0.01,3668.00,14.40
25.90,12.50,57.70,26.60,0.00,9.61,0.01,3668.00,10.90
31.30,7.50,41.40,26.60,0.00,9.61,0.01,3668.00,7.50
35.60,11.50,40.70,26.50,0.00,9.61,0.01,3668.00,11.70
40.60,24.00,56.60,26.50,0.00,9.61,0.01,3668.00,7.90
44.80,25.20,51.10,26.40,0.00,9.61,0.01,3668.00,12.20
44.60,26.40,54.50,26.20,0.00,9.61,0.01,3668.00,12.80
38.20,29.10,71.20,26.40,0.00,9.61,0.01,3668.00,21.50
36.80,24.50,62.80,26.50,0.02,9.61,0.01,3668.00,10.80
38.20,35.10,88.80,26.20,0.03,9.61,0.01,3668.00,5.80
37.80,26.00,64.10,26.20,0.12,9.61,0.01,3668.00,10.50
47.30,23.00,46.40,26.00,0.00,9.61,0.01,3668.00,16.60
40.40,21.70,51.40,26.10,0.00,9.61,0.01,3668.00,18.60
28.10,16.30,65.20,26.50,0.00,9.61,0.01,3668.00,12.20
52.70,22.40,36.30,26.90,0.00,4.43,0.32,2782.00,9.70
29.90,23.60,79.70,27.00,0.00,4.43,0.32,2782.00,17.10
17.70,12.20,79.60,27.20,0.09,4.43,0.32,2782.00,16.30
23.50,11.60,64.40,27.50,0.00,4.43,0.32,2782.00,7.50
32.90,15.60,54.30,27.30,0.00,4.43,0.32,2782.00,9.50
39.30,19.40,50.60,27.20,0.00,4.43,0.32,2782.00,11.80
39.00,19.10,50.70,27.40,0.00,4.43,0.32,2782.00,6.80
43.60,17.00,39.40,27.20,0.00,4.43,0.32,2782.00,10.60
45.50,15.80,34.40,27.10,0.00,4.43,0.32,2782.00,6.60
46.30,14.60,32.50,27.10,0.00,4.43,0.32,2782.00,4.60
54.10,20.00,29.40,27.00,0.00,4.43,0.32,2782.00,14.20
40.80,18.30,42.00,27.40,0.00,4.43,0.32,2782.00,13.40
43.50,13.70,33.10,27.40,0.00,4.43,0.32,2782.00,6.50
52.20,15.20,26.70,27.20,0.00,4.43,0.32,2782.00,9.60
56.80,25.00,33.70,27.00,0.00,4.43,0.32,2782.00,16.30
61.30,38.80,48.40,26.80,0.00,4.43,0.32,2782.00,15.20
40.80,23.00,50.60,27.10,0.06,4.43,0.32,2782.00,15.70
39.60,19.30,49.50,27.30,0.00,4.43,0.32,2782.00,6.50
46.00,19.50,38.70,27.30,0.00,4.43,0.32,2782.00,9.50
55.60,22.70,31.00,27.00,0.00,4.43,0.32,2782.00,12.20
58.30,40.00,54.70,26.80,0.00,4.43,0.32,2782.00,12.20
51.40,24.10,36.00,27.00,0.07,4.43,0.32,2782.00,17.00
23.40,11.60,61.30,27.20,0.00,4.43,0.32,2782.00,14.80
26.40,19.40,79.90,27.10,0.00,4.43,0.32,2782.00,8.90
29.70,19.10,70.90,27.30,0.00,4.43,0.32,2782.00,13.00
33.00,21.50,63.20,27.30,0.00,4.43,0.32,2782.00,9.50
38.80,11.90,44.40,27.40,0.00,4.43,0.32,2782.00,5.00
46.90,10.40,25.70,27.30,0.00,4.43,0.32,2782.00,5.60
72.50,49.80,46.20,26.90,0.00,4.43,0.32,2782.00,19.90
78.10,40.30,43.40,26.80,0.00,4.43,0.32,2782.00,17.10
65.40,41.50,44.60,27.00,0.00,4.43,0.32,2782.00,13.40
77.60,54.70,58.20,26.90,0.00,4.43,0.32,2782.00,13.80
70.50,38.60,43.00,26.90,0.00,4.43,0.32,2782.00,12.30
77.80,16.30,12.70,26.90,0.00,4.43,0.32,2782.00,10.60
84.10,16.50,13.30,26.80,0.00,4.43,0.32,2782.00,13.60
85.00,7.00,5.70,26.70,0.00,4.43,0.32,2782.00,14.10
85.60,23.00,16.10,26.80,0.00,4.43,0.32,2782.00,15.00
80.70,62.30,55.10,27.00,0.00,4.43,0.32,2782.00,17.30
79.70,58.90,50.10,27.00,0.00,4.43,0.32,2782.00,21.90
83.00,55.40,43.50,27.00,0.00,4.43,0.32,2782.00,14.90
83.20,39.80,28.20,26.90,0.00,4.43,0.32,2782.00,6.90
82.20,39.70,32.50,27.00,0.00,4.43,0.32,2782.00,8.10
86.80,36.00,24.00,27.00,0.00,4.43,0.32,2782.00,10.00
85.80,48.80,35.90,27.00,0.00,4.43,0.32,2782.00,16.60
89.80,44.80,24.40,26.90,0.00,4.43,0.32,2782.00,17.70
88.60,25.00,14.40,26.90,0.00,4.43,0.32,2782.00,12.40
87.70,29.80,20.00,26.80,0.00,4.43,0.32,2782.00,14.20
86.40,32.40,20.70,26.70,0.00,4.43,0.32,2782.00,12.90
72.10,34.90,28.00,27.00,0.00,4.43,0.32,2782.00,16.50
63.00,37.20,38.90,27.20,0.00,4.43,0.32,2782.00,13.80
72.50,54.80,54.60,27.00,0.00,4.43,0.32,2782.00,17.10
63.40,56.00,78.50,26.80,0.02,4.43,0.32,2782.00,22.10
62.00,41.30,52.20,27.00,0.09,4.43,0.32,2782.00,9.60
74.60,35.30,28.30,27.00,0.00,4.43,0.32,2782.00,7.30
81.70,44.20,29.30,27.00,0.00,4.43,0.32,2782.00,12.40
88.70,51.00,32.00,26.80,0.00,4.43,0.32,2782.00,18.50
87.80,49.20,30.70,26.70,0.00,4.43,0.32,2782.00,19.80
86.30,48.60,33.30,26.70,0.00,4.43,0.32,2782.00,16.60
83.80,64.10,53.40,26.80,0.00,4.43,0.32,2782.00,17.70
87.60,52.50,31.80,27.10,0.00,4.43,0.32,2782.00,14.30
87.30,55.40,35.30,27.00,0.00,4.43,0.32,2782.00,12.80
89.40,55.60,33.40,26.90,0.00,4.43,0.32,2782.00,11.20
89.90,56.30,33.40,27.00,0.00,4.43,0.32,2782.00,9.20
89.20,55.40,33.10,27.00,0.00,4.43,0.32,2782.00,8.30
86.00,54.00,34.70,27.10,0.00,4.43,0.32,2782.00,12.40
84.30,57.50,42.90,27.10,0.00,4.43,0.32,2782.00,11.60
85.30,56.80,40.10,27.10,0.00,4.43,0.32,2782.00,11.90
84.80,56.80,40.00,27.10,0.00,4.43,0.32,2782.00,11.50
83.30,60.50,46.80,27.20,0.00,4.43,0.32,2782.00,10.00
83.80,58.70,45.10,27.10,0.00,4.43,0.32,2782.00,7.80
83.80,52.20,39.50,27.10,0.00,4.43,0.32,2782.00,8.70
85.30,56.80,39.40,27.10,0.00,4.43,0.32,2782.00,6.90
86.30,56.30,37.30,27.00,0.00,4.43,0.32,2782.00,7.70
80.80,61.50,53.00,27.00,0.00,4.43,0.32,2782.00,13.70
77.20,64.00,65.40,27.00,0.00,4.43,0.32,2782.00,9.80
79.20,64.20,64.70,27.10,0.02,4.43,0.32,2782.00,8.70
74.90,65.20,73.60,27.10,0.54,4.43,0.32,2782.00,11.10
77.50,65.10,67.10,27.00,0.00,4.43,0.32,2782.00,8.60
75.30,67.30,79.00,27.00,0.01,4.43,0.32,2782.00,9.50
74.90,68.80,83.40,27.10,2.43,4.43,0.32,2782.00,5.70
72.80,69.20,88.80,27.10,0.00,4.43,0.32,2782.00,10.80
72.00,65.60,82.30,27.10,0.16,4.43,0.32,2782.00,7.40
77.00,60.70,59.70,27.10,0.00,4.43,0.32,2782.00,7.90
59.40,48.10,48.10,24.90,0.00,4.43,0.32,2782.00,6.00
65.00,47.90,40.30,21.40,0.00,4.43,0.32,2782.00,4.30
82.70,60.20,48.80,27.00,0.00,4.43,0.32,2782.00,10.20
79.90,64.70,62.90,26.90,0.00,4.43,0.32,2782.00,14.50
77.90,65.20,67.90,27.00,0.07,4.43,0.32,2782.00,15.70
69.80,65.80,87.50,27.10,0.37,4.43,0.32,2782.00,10.50
71.10,67.40,88.80,27.10,0.45,4.43,0.32,2782.00,7.10
57.00,51.10,83.40,27.10,0.00,4.43,0.32,2782.00,7.30
61.50,56.40,84.60,27.10,0.00,4.43,0.32,2782.00,14.00
66.30,59.30,79.90,26.90,0.00,4.43,0.32,2782.00,18.30
61.50,41.70,57.60,26.90,0.00,4.43,0.32,2782.00,16.80
55.60,24.90,34.00,26.90,0.00,4.43,0.32,2782.00,12.40
64.10,31.50,32.10,27.00,0.00,4.43,0.32,2782.00,6.60
62.50,52.50,70.70,27.10,0.00,4.43,0.32,2782.00,9.40
68.20,62.40,82.90,27.10,0.00,4.43,0.32,2782.00,16.00
69.40,61.70,77.90,27.00,0.00,4.43,0.32,2782.00,19.30
66.80,48.60,59.10,26.90,0.00,4.43,0.32,2782.00,8.60
47.20,29.00,49.90,27.10,0.00,4.43,0.32,2782.00,14.80
39.40,19.10,46.90,27.20,0.00,4.43,0.32,2782.00,7.00
43.50,26.30,52.70,27.10,0.00,4.43,0.32,2782.00,14.00
43.60,25.80,50.80,27.00,0.00,4.43,0.32,2782.00,13.50
37.60,20.50,54.00,27.30,0.00,4.43,0.32,2782.00,8.30
41.20,22.30,47.80,27.40,0.00,4.43,0.32,2782.00,8.20
42.80,24.40,49.60,27.30,0.00,4.43,0.32,2782.00,7.30
34.20,26.50,74.50,27.30,0.00,4.43,0.32,2782.00,13.00
32.50,27.40,83.90,27.40,0.00,4.43,0.32,2782.00,8.80
37.10,29.60,75.90,27.30,0.00,4.43,0.32,2782.00,6.50
36.80,33.10,88.90,27.30,0.00,4.43,0.32,2782.00,2.90
39.70,34.90,86.90,27.20,0.00,4.43,0.32,2782.00,5.80
49.40,47.10,93.10,27.00,0.00,4.43,0.32,2782.00,9.50
45.70,40.50,85.90,27.00,0.00,4.43,0.32,2782.00,13.40
37.60,37.30,98.90,27.20,0.13,4.43,0.32,2782.00,13.20
39.20,34.90,86.90,27.00,0.67,4.43,0.32,2782.00,11.10
46.50,35.20,66.30,27.00,0.08,4.43,0.32,2782.00,7.30
52.40,33.20,54.40,26.90,0.00,4.43,0.32,2782.00,12.10
55.20,35.40,56.80,26.90,0.00,4.43,0.32,2782.00,15.20
36.00,25.00,66.10,27.30,0.00,4.43,0.32,2782.00,10.30
54.80,18.90,25.20,25.80,0.00,28.56,0.00,3740.00,10.00
45.70,24.40,50.70,25.80,0.00,28.56,0.00,3740.00,9.50
24.80,17.90,76.20,26.10,1.15,28.56,0.00,3740.00,8.00
28.50,15.60,60.00,26.40,0.00,28.56,0.00,3740.00,2.60
33.50,17.00,54.00,26.20,0.00,28.56,0.00,3740.00,3.20
40.60,18.10,45.30,26.10,0.00,28.56,0.00,3740.00,7.30
42.30,21.00,44.60,26.30,0.00,28.56,0.00,3740.00,4.20
42.60,19.50,44.30,26.10,0.00,28.56,0.00,3740.00,3.30
48.10,17.60,32.40,26.10,0.00,28.56,0.00,3740.00,5.90
50.00,16.20,29.60,26.00,0.00,28.56,0.00,3740.00,5.80
55.00,16.30,22.80,25.90,0.00,28.56,0.00,3740.00,4.90
45.40,24.00,43.50,26.20,0.00,28.56,0.00,3740.00,7.80
45.40,21.50,41.70,26.30,0.00,28.56,0.00,3740.00,3.30
49.20,16.80,31.70,26.10,0.00,28.56,0.00,3740.00,3.20
57.80,9.50,17.10,25.90,0.00,28.56,0.00,3740.00,11.20
55.60,18.20,25.80,25.80,0.00,28.56,0.00,3740.00,17.40
